ds;yhat;yhat_lower;yhat_upper;trend;weekly;monthly;holidays
2026-04-01;7430,25;2503,25;12056,38;6820,03;545,87;-579,78;0,00
2026-04-02;7136,70;2347,95;11764,04;6855,92;381,60;-744,94;0,00
2026-04-03;3144,55;0,00;8011,89;6891,81;-84,79;-824,97;-3481,64
2026-04-04;2119,84;0,00;7188,70;6927,70;-419,20;-803,74;0,00
2026-04-05;2144,00;0,00;4381,70;6963,59;-1963,03;-680,53;0,00
2026-04-06;8362,23;3739,85;12913,36;6999,49;1188,92;-470,30;0,00
2026-04-07;7828,68;2774,88;12792,75;7035,38;350,63;-201,46;0,00
2026-04-08;8349,92;3467,39;12879,56;7071,27;545,87;88,66;0,00
2026-04-09;8492,53;3764,78;13186,09;7107,16;381,60;359,65;0,00
2026-04-10;8276,91;3602,08;13265,06;7143,05;-84,79;574,52;0,00
2026-04-11;3880,29;0,00;8510,62;7178,94;-419,20;705,48;0,00
2026-04-12;2144,00;0,00;6296,21;7214,83;-1963,03;738,28;0,00
2026-04-13;9758,00;4609,55;14846,97;7250,72;1188,92;674,23;0,00
2026-04-14;8811,12;4573,63;13807,24;7286,61;350,63;529,75;0,00
2026-04-15;8845,84;4435,27;13502,66;7322,50;545,87;333,34;0,00
2026-04-16;8504,74;3308,52;13357,44;7358,39;381,60;120,63;0,00
2026-04-17;7881,94;3464,03;12804,29;7394,28;-84,79;-71,69;0,00
2026-04-18;3214,00;0,00;8269,05;7430,17;-419,20;-212,04;0,00
2026-04-19;2144,00;0,00;5462,68;7466,06;-1963,03;-279,26;0,00
2026-04-20;9069,02;4328,79;13968,91;7501,95;1188,92;-265,99;0,00
2026-04-21;3566,46;0,00;8627,88;7537,85;350,63;-179,79;-4786,36
2026-04-22;8722,12;3862,47;13593,80;7573,74;545,87;-41,62;0,00
2026-04-23;8753,29;3810,73;13737,24;7609,63;381,60;117,94;0,00
2026-04-24;8468,97;3898,56;13220,56;7645,52;-84,79;264,11;0,00
2026-04-25;4041,37;0,00;8645,91;7681,41;-419,20;364,10;0,00
2026-04-26;2144,00;0,00;6460,10;7717,30;-1963,03;392,90;0,00
2026-04-27;9924,13;5118,24;14900,46;7753,19;1188,92;337,90;0,00
2026-04-28;9890,70;5119,20;14650,59;7789,08;350,63;201,22;905,64
2026-04-29;11810,86;6919,41;16744,49;7824,97;545,87;-0,24;2796,13
2026-04-30;13737,65;8837,43;18381,53;7860,86;381,60;-237,45;5088,51
